Question,Intent
I want to know What is admission form?,admissions
Does NIET have medical facilities?,infrastructure
Can you please Hostel fees for M.Tech fees students?,fees
I want to know Career opportunities in Data Science,ai_courses
Kindly Can you explain about campus?,infrastructure
I want to know Eligibility for Mechanical Engineering?,mechanical_courses
Provide some information on installment payment,fees
Please Placement details for admission date,admissions
Provide some information on B.Tech fees,fees
What are the subjects in Civil course?,civil_courses
Please Provide some information on Mechanical course,mechanical_courses
Kindly Is highest package available at NIET?,placement
Can you please Provide some information on Machine Learning,ai_courses
I want to know Eligibility for sports facilities?,infrastructure
Kindly Fees for Mechanical branch program?,mechanical_courses
Can you please What services are included in ac room?,hostel
Can you please How is M.Tech fees at NIET?,fees
Please Career opportunities in Civil course,civil_courses
Can you please Does NIET have B.Tech fees?,fees
I want to know What are the subjects in Mechanical Engineering?,mechanical_courses
Eligibility for mess?,hostel
Kindly What are the features of MBA fees?,fees
Kindly What labs are available for library students?,infrastructure
Kindly Give details about Mechanical Engineering,mechanical_courses
Career opportunities in wifi,hostel
Can you please Give details about admission form,admissions
Please Hostel fees for medical facilities students?,infrastructure
What is the syllabus for Civil course?,civil_courses
I want to know Is AI and ML available at NIET?,ai_courses
What is the syllabus for B.Tech fees?,fees
I want to know Tell me about mess facility,hostel
I want to know Duration of Mechanical course course?,mechanical_courses
I want to know Does hostel provide hostel facilities?,hostel
I want to know What is Electrical department?,electrical_courses
Please Does NIET offer installment payment?,fees
Please What is wifi?,infrastructure
What is Mechanical department?,mechanical_courses
I want to know Duration of CS branch course?,cse_courses
Can you please Can I apply for Electrical course?,electrical_courses
Is college fees free for students?,fees
Can you please Does hostel provide medical facilities?,infrastructure
Give me details of Artificial Intelligence,ai_courses
Kindly Provide some information on direct admission,admissions
Kindly Can you explain about sports facilities?,infrastructure
Can you please What is Computer Science Engineering?,cse_courses
Can you please Fees for placement training program?,placement
Please Fees for sports facilities program?,infrastructure
Is gym free for students?,infrastructure
Can you please Give details about Mechanical branch,mechanical_courses
I want to know Eligibility for companies?,placement
Kindly What are the subjects in library?,infrastructure
I want to know Fees for Electrical course program?,electrical_courses
Kindly Provide some information on Civil department,civil_courses
Kindly Tell me about sports facilities,infrastructure
I want to know Does NIET have hostel?,hostel
Fees for canteen program?,infrastructure
Can you please Duration of M.Tech fees course?,fees
Kindly Can I apply for Artificial Intelligence?,ai_courses
Please Give me details of JEE admission,admissions
I want to know Does NIET have hostel facilities?,hostel
Kindly Give details about JEE admission,admissions
Kindly Give me information about B.Tech fees at NIET,fees
Kindly Is Electrical Engineering available at NIET?,electrical_courses
Can you please Provide some information on Electrical course,electrical_courses
Please Is library free for students?,infrastructure
Please What are the features of library?,infrastructure
Can you please Give me details of mess,hostel
I want to know What are the subjects in admission process?,admissions
I want to know Is MBA fees available on campus?,fees
Please Duration of companies course?,placement
Kindly Give details about M.Tech fees,fees
I want to know What are the features of gym?,infrastructure
Kindly Hostel fees for Electrical course students?,electrical_courses
I want to know What courses are offered in Mechanical course?,mechanical_courses
Career opportunities in hostel fees,hostel
Can you please Give me details of CS branch,cse_courses
Kindly Give me details of canteen,infrastructure
Please Hostel fees for highest package students?,placement
Please Fees for companies program?,placement
I want to know Can I apply for Civil department?,civil_courses
Career opportunities in Mechanical branch,mechanical_courses
Give me details of ac room,hostel
Can you please Fees for direct admission program?,admissions
Provide some information on Data Science,ai_courses
Please Give details about companies,placement
Can you please Give details about Mechanical course,mechanical_courses
What is hostel?,hostel
Can you please Eligibility for library?,infrastructure
I want to know Give details about Civil course,civil_courses
Can you please What courses are offered in AI program?,ai_courses
I want to know What are the subjects in Civil Engineering?,civil_courses
I want to know What are the subjects in ac room?,hostel
Give me details of admission process,admissions
Please Give details about Electrical branch,electrical_courses
Provide some information on AI program,ai_courses
Can you please Does NIET offer direct admission?,admissions
Kindly How is MBA fees at NIET?,fees
Please What are the subjects in wifi?,hostel
Please What is the syllabus for Electrical course?,electrical_courses
I want to know What courses are offered in Electrical Engineering?,electrical_courses
Kindly Can you explain about Artificial Intelligence?,ai_courses
Career opportunities in admission process,admissions
Kindly How is Electrical Engineering at NIET?,electrical_courses
I want to know Can you explain about mess?,hostel
